order_date,sku,forecast_quantity,model_mape
2026-01-01,SKU-A100,36,0.1971
2026-01-01,SKU-B200,24,0.1971
2026-01-01,SKU-C300,19,0.1971
2026-01-02,SKU-A100,35,0.1971
2026-01-02,SKU-B200,24,0.1971
2026-01-02,SKU-C300,18,0.1971
2026-01-03,SKU-A100,36,0.1971
2026-01-03,SKU-B200,24,0.1971
2026-01-03,SKU-C300,18,0.1971
2026-01-04,SKU-A100,35,0.1971
2026-01-04,SKU-B200,24,0.1971
2026-01-04,SKU-C300,18,0.1971
2026-01-05,SKU-A100,36,0.1971
2026-01-05,SKU-B200,25,0.1971
2026-01-05,SKU-C300,16,0.1971
2026-01-06,SKU-A100,34,0.1971
2026-01-06,SKU-B200,24,0.1971
2026-01-06,SKU-C300,17,0.1971
2026-01-07,SKU-A100,34,0.1971
2026-01-07,SKU-B200,24,0.1971
2026-01-07,SKU-C300,17,0.1971
2026-01-08,SKU-A100,33,0.1971
2026-01-08,SKU-B200,24,0.1971
2026-01-08,SKU-C300,18,0.1971
2026-01-09,SKU-A100,32,0.1971
2026-01-09,SKU-B200,25,0.1971
2026-01-09,SKU-C300,19,0.1971
2026-01-10,SKU-A100,32,0.1971
2026-01-10,SKU-B200,24,0.1971
2026-01-10,SKU-C300,19,0.1971
2026-01-11,SKU-A100,32,0.1971
2026-01-11,SKU-B200,24,0.1971
2026-01-11,SKU-C300,18,0.1971
2026-01-12,SKU-A100,35,0.1971
2026-01-12,SKU-B200,25,0.1971
2026-01-12,SKU-C300,17,0.1971
2026-01-13,SKU-A100,34,0.1971
2026-01-13,SKU-B200,25,0.1971
2026-01-13,SKU-C300,19,0.1971
2026-01-14,SKU-A100,35,0.1971
2026-01-14,SKU-B200,23,0.1971
2026-01-14,SKU-C300,19,0.1971
2026-01-15,SKU-A100,33,0.1971
2026-01-15,SKU-B200,24,0.1971
2026-01-15,SKU-C300,21,0.1971
2026-01-16,SKU-A100,32,0.1971
2026-01-16,SKU-B200,25,0.1971
2026-01-16,SKU-C300,20,0.1971
2026-01-17,SKU-A100,33,0.1971
2026-01-17,SKU-B200,24,0.1971
2026-01-17,SKU-C300,20,0.1971
2026-01-18,SKU-A100,34,0.1971
2026-01-18,SKU-B200,23,0.1971
2026-01-18,SKU-C300,20,0.1971
2026-01-19,SKU-A100,36,0.1971
2026-01-19,SKU-B200,27,0.1971
2026-01-19,SKU-C300,18,0.1971
2026-01-20,SKU-A100,34,0.1971
2026-01-20,SKU-B200,27,0.1971
2026-01-20,SKU-C300,19,0.1971
2026-01-21,SKU-A100,34,0.1971
2026-01-21,SKU-B200,25,0.1971
2026-01-21,SKU-C300,19,0.1971
2026-01-22,SKU-A100,32,0.1971
2026-01-22,SKU-B200,25,0.1971
2026-01-22,SKU-C300,20,0.1971
2026-01-23,SKU-A100,33,0.1971
2026-01-23,SKU-B200,24,0.1971
2026-01-23,SKU-C300,20,0.1971
2026-01-24,SKU-A100,33,0.1971
2026-01-24,SKU-B200,24,0.1971
2026-01-24,SKU-C300,21,0.1971
2026-01-25,SKU-A100,34,0.1971
2026-01-25,SKU-B200,24,0.1971
2026-01-25,SKU-C300,20,0.1971
2026-01-26,SKU-A100,36,0.1971
