order_date,sku,customer_segment,quantity,price,promotion_flag,region
2025-01-01,SKU-A100,Retail,42,18.0,0,BA
2025-01-01,SKU-B200,B2B,29,12.0,0,HR
2025-01-01,SKU-C300,Retail,22,29.0,1,RS
2025-01-02,SKU-A100,Retail,31,18.0,1,HR
2025-01-02,SKU-B200,B2B,20,12.0,0,BA
2025-01-02,SKU-C300,Online,23,29.0,0,BA
2025-01-03,SKU-A100,Retail,41,18.0,0,RS
2025-01-03,SKU-B200,Retail,19,12.0,0,HR
2025-01-03,SKU-C300,Online,16,29.0,0,HR
2025-01-04,SKU-A100,Retail,41,18.0,1,BA
2025-01-04,SKU-B200,B2B,30,12.0,0,RS
2025-01-04,SKU-C300,B2B,21,29.0,0,HR
2025-01-05,SKU-A100,B2B,27,18.0,1,HR
2025-01-05,SKU-B200,Online,22,12.0,0,BA
2025-01-05,SKU-C300,Online,10,29.0,0,BA
2025-01-06,SKU-A100,Online,31,18.0,1,RS
2025-01-06,SKU-B200,Online,24,12.0,0,RS
2025-01-06,SKU-C300,Online,13,29.0,1,HR
2025-01-07,SKU-A100,Online,32,18.0,0,HR
2025-01-07,SKU-B200,Online,21,12.0,0,BA
2025-01-07,SKU-C300,Retail,12,29.0,1,RS
2025-01-08,SKU-A100,Online,35,18.0,0,BA
2025-01-08,SKU-B200,Online,23,12.0,1,BA
2025-01-08,SKU-C300,Online,15,29.0,1,RS
2025-01-09,SKU-A100,Online,34,18.0,1,RS
2025-01-09,SKU-B200,Online,32,12.0,1,BA
2025-01-09,SKU-C300,Online,23,29.0,0,HR
2025-01-10,SKU-A100,B2B,28,18.0,0,RS
2025-01-10,SKU-B200,B2B,29,12.0,0,RS
2025-01-10,SKU-C300,Online,23,29.0,0,HR
2025-01-11,SKU-A100,Online,27,18.0,0,RS
2025-01-11,SKU-B200,Retail,18,12.0,0,BA
2025-01-11,SKU-C300,B2B,13,29.0,1,BA
2025-01-12,SKU-A100,Retail,30,18.0,0,HR
2025-01-12,SKU-B200,B2B,24,12.0,0,BA
2025-01-12,SKU-C300,Online,23,29.0,0,BA
2025-01-13,SKU-A100,Online,33,18.0,0,HR
2025-01-13,SKU-B200,Online,31,12.0,0,HR
2025-01-13,SKU-C300,B2B,13,29.0,0,RS
2025-01-14,SKU-A100,B2B,36,18.0,1,RS
2025-01-14,SKU-B200,B2B,19,12.0,0,HR
2025-01-14,SKU-C300,B2B,22,29.0,1,RS
2025-01-15,SKU-A100,Online,41,18.0,0,BA
2025-01-15,SKU-B200,Retail,16,12.0,0,RS
2025-01-15,SKU-C300,Retail,25,29.0,0,RS
2025-01-16,SKU-A100,Online,28,18.0,0,BA
2025-01-16,SKU-B200,B2B,32,12.0,0,HR
2025-01-16,SKU-C300,Retail,18,29.0,1,RS
2025-01-17,SKU-A100,Retail,33,18.0,1,HR
2025-01-17,SKU-B200,B2B,26,12.0,1,BA
2025-01-17,SKU-C300,Online,15,29.0,1,BA
2025-01-18,SKU-A100,B2B,39,18.0,0,HR
2025-01-18,SKU-B200,Retail,16,12.0,0,RS
2025-01-18,SKU-C300,Online,24,29.0,0,BA
2025-01-19,SKU-A100,Retail,37,18.0,1,HR
2025-01-19,SKU-B200,Online,18,12.0,1,HR
2025-01-19,SKU-C300,B2B,19,29.0,0,BA
2025-01-20,SKU-A100,Retail,42,18.0,1,BA
2025-01-20,SKU-B200,Online,28,12.0,1,HR
