date,sku,warehouse,inventory_units,unit_cost,service_level_target
2025-01-01,SKU-A100,WH-Sarajevo,306,12.5,0.95
2025-01-01,SKU-B200,WH-Sarajevo,154,7.8,0.95
2025-01-01,SKU-C300,WH-Sarajevo,488,19.9,0.95
2025-01-02,SKU-A100,WH-Sarajevo,260,12.5,0.95
2025-01-02,SKU-B200,WH-Sarajevo,208,7.8,0.95
2025-01-02,SKU-C300,WH-Sarajevo,435,19.9,0.95
2025-01-03,SKU-A100,WH-Sarajevo,284,12.5,0.95
2025-01-03,SKU-B200,WH-Sarajevo,193,7.8,0.95
2025-01-03,SKU-C300,WH-Sarajevo,427,19.9,0.95
2025-01-04,SKU-A100,WH-Sarajevo,284,12.5,0.95
2025-01-04,SKU-B200,WH-Sarajevo,177,7.8,0.95
2025-01-04,SKU-C300,WH-Sarajevo,476,19.9,0.95
2025-01-05,SKU-A100,WH-Sarajevo,308,12.5,0.95
2025-01-05,SKU-B200,WH-Sarajevo,164,7.8,0.95
2025-01-05,SKU-C300,WH-Sarajevo,453,19.9,0.95
2025-01-06,SKU-A100,WH-Sarajevo,281,12.5,0.95
2025-01-06,SKU-B200,WH-Sarajevo,175,7.8,0.95
2025-01-06,SKU-C300,WH-Sarajevo,427,19.9,0.95
2025-01-07,SKU-A100,WH-Sarajevo,309,12.5,0.95
2025-01-07,SKU-B200,WH-Sarajevo,216,7.8,0.95
2025-01-07,SKU-C300,WH-Sarajevo,461,19.9,0.95
2025-01-08,SKU-A100,WH-Sarajevo,310,12.5,0.95
2025-01-08,SKU-B200,WH-Sarajevo,148,7.8,0.95
2025-01-08,SKU-C300,WH-Sarajevo,485,19.9,0.95
2025-01-09,SKU-A100,WH-Sarajevo,305,12.5,0.95
2025-01-09,SKU-B200,WH-Sarajevo,207,7.8,0.95
2025-01-09,SKU-C300,WH-Sarajevo,473,19.9,0.95
2025-01-10,SKU-A100,WH-Sarajevo,286,12.5,0.95
2025-01-10,SKU-B200,WH-Sarajevo,165,7.8,0.95
2025-01-10,SKU-C300,WH-Sarajevo,467,19.9,0.95
2025-01-11,SKU-A100,WH-Sarajevo,321,12.5,0.95
2025-01-11,SKU-B200,WH-Sarajevo,142,7.8,0.95
2025-01-11,SKU-C300,WH-Sarajevo,446,19.9,0.95
2025-01-12,SKU-A100,WH-Sarajevo,280,12.5,0.95
2025-01-12,SKU-B200,WH-Sarajevo,159,7.8,0.95
2025-01-12,SKU-C300,WH-Sarajevo,466,19.9,0.95
2025-01-13,SKU-A100,WH-Sarajevo,334,12.5,0.95
2025-01-13,SKU-B200,WH-Sarajevo,139,7.8,0.95
2025-01-13,SKU-C300,WH-Sarajevo,446,19.9,0.95
2025-01-14,SKU-A100,WH-Sarajevo,311,12.5,0.95
2025-01-14,SKU-B200,WH-Sarajevo,166,7.8,0.95
2025-01-14,SKU-C300,WH-Sarajevo,468,19.9,0.95
2025-01-15,SKU-A100,WH-Sarajevo,310,12.5,0.95
2025-01-15,SKU-B200,WH-Sarajevo,144,7.8,0.95
2025-01-15,SKU-C300,WH-Sarajevo,411,19.9,0.95
2025-01-16,SKU-A100,WH-Sarajevo,319,12.5,0.95
2025-01-16,SKU-B200,WH-Sarajevo,165,7.8,0.95
2025-01-16,SKU-C300,WH-Sarajevo,437,19.9,0.95
2025-01-17,SKU-A100,WH-Sarajevo,323,12.5,0.95
2025-01-17,SKU-B200,WH-Sarajevo,177,7.8,0.95
2025-01-17,SKU-C300,WH-Sarajevo,452,19.9,0.95
2025-01-18,SKU-A100,WH-Sarajevo,276,12.5,0.95
2025-01-18,SKU-B200,WH-Sarajevo,202,7.8,0.95
2025-01-18,SKU-C300,WH-Sarajevo,410,19.9,0.95
2025-01-19,SKU-A100,WH-Sarajevo,312,12.5,0.95
2025-01-19,SKU-B200,WH-Sarajevo,158,7.8,0.95
2025-01-19,SKU-C300,WH-Sarajevo,436,19.9,0.95
2025-01-20,SKU-A100,WH-Sarajevo,288,12.5,0.95
2025-01-20,SKU-B200,WH-Sarajevo,136,7.8,0.95
2025-01-20,SKU-C300,WH-Sarajevo,468,19.9,0.95
2025-01-21,SKU-A100,WH-Sarajevo,279,12.5,0.95
2025-01-21,SKU-B200,WH-Sarajevo,191,7.8,0.95
2025-01-21,SKU-C300,WH-Sarajevo,473,19.9,0.95
2025-01-22,SKU-A100,WH-Sarajevo,271,12.5,0.95
2025-01-22,SKU-B200,WH-Sarajevo,145,7.8,0.95
2025-01-22,SKU-C300,WH-Sarajevo,461,19.9,0.95
2025-01-23,SKU-A100,WH-Sarajevo,322,12.5,0.95
2025-01-23,SKU-B200,WH-Sarajevo,135,7.8,0.95
2025-01-23,SKU-C300,WH-Sarajevo,408,19.9,0.95
2025-01-24,SKU-A100,WH-Sarajevo,294,12.5,0.95
2025-01-24,SKU-B200,WH-Sarajevo,163,7.8,0.95
2025-01-24,SKU-C300,WH-Sarajevo,458,19.9,0.95
2025-01-25,SKU-A100,WH-Sarajevo,268,12.5,0.95
2025-01-25,SKU-B200,WH-Sarajevo,179,7.8,0.95
2025-01-25,SKU-C300,WH-Sarajevo,453,19.9,0.95
2025-01-26,SKU-A100,WH-Sarajevo,302,12.5,0.95
2025-01-26,SKU-B200,WH-Sarajevo,143,7.8,0.95
2025-01-26,SKU-C300,WH-Sarajevo,445,19.9,0.95
2025-01-27,SKU-A100,WH-Sarajevo,276,12.5,0.95
2025-01-27,SKU-B200,WH-Sarajevo,210,7.8,0.95
2025-01-27,SKU-C300,WH-Sarajevo,479,19.9,0.95
2025-01-28,SKU-A100,WH-Sarajevo,258,12.5,0.95
2025-01-28,SKU-B200,WH-Sarajevo,150,7.8,0.95
2025-01-28,SKU-C300,WH-Sarajevo,415,19.9,0.95
2025-01-29,SKU-A100,WH-Sarajevo,313,12.5,0.95
2025-01-29,SKU-B200,WH-Sarajevo,170,7.8,0.95
2025-01-29,SKU-C300,WH-Sarajevo,424,19.9,0.95
2025-01-30,SKU-A100,WH-Sarajevo,271,12.5,0.95
2025-01-30,SKU-B200,WH-Sarajevo,170,7.8,0.95
2025-01-30,SKU-C300,WH-Sarajevo,440,19.9,0.95
2025-01-31,SKU-A100,WH-Sarajevo,327,12.5,0.95
2025-01-31,SKU-B200,WH-Sarajevo,143,7.8,0.95
2025-01-31,SKU-C300,WH-Sarajevo,440,19.9,0.95
2025-02-01,SKU-A100,WH-Sarajevo,271,12.5,0.95
2025-02-01,SKU-B200,WH-Sarajevo,133,7.8,0.95
2025-02-01,SKU-C300,WH-Sarajevo,463,19.9,0.95
2025-02-02,SKU-A100,WH-Sarajevo,294,12.5,0.95
2025-02-02,SKU-B200,WH-Sarajevo,173,7.8,0.95
2025-02-02,SKU-C300,WH-Sarajevo,424,19.9,0.95
2025-02-03,SKU-A100,WH-Sarajevo,275,12.5,0.95
2025-02-03,SKU-B200,WH-Sarajevo,160,7.8,0.95
2025-02-03,SKU-C300,WH-Sarajevo,416,19.9,0.95
2025-02-04,SKU-A100,WH-Sarajevo,254,12.5,0.95
2025-02-04,SKU-B200,WH-Sarajevo,158,7.8,0.95
2025-02-04,SKU-C300,WH-Sarajevo,439,19.9,0.95
2025-02-05,SKU-A100,WH-Sarajevo,324,12.5,0.95
2025-02-05,SKU-B200,WH-Sarajevo,180,7.8,0.95
2025-02-05,SKU-C300,WH-Sarajevo,405,19.9,0.95
2025-02-06,SKU-A100,WH-Sarajevo,267,12.5,0.95
2025-02-06,SKU-B200,WH-Sarajevo,201,7.8,0.95
2025-02-06,SKU-C300,WH-Sarajevo,464,19.9,0.95
2025-02-07,SKU-A100,WH-Sarajevo,274,12.5,0.95
2025-02-07,SKU-B200,WH-Sarajevo,188,7.8,0.95
2025-02-07,SKU-C300,WH-Sarajevo,481,19.9,0.95
2025-02-08,SKU-A100,WH-Sarajevo,289,12.5,0.95
2025-02-08,SKU-B200,WH-Sarajevo,146,7.8,0.95
2025-02-08,SKU-C300,WH-Sarajevo,454,19.9,0.95
2025-02-09,SKU-A100,WH-Sarajevo,269,12.5,0.95
2025-02-09,SKU-B200,WH-Sarajevo,134,7.8,0.95
2025-02-09,SKU-C300,WH-Sarajevo,404,19.9,0.95
2025-02-10,SKU-A100,WH-Sarajevo,281,12.5,0.95
2025-02-10,SKU-B200,WH-Sarajevo,137,7.8,0.95
2025-02-10,SKU-C300,WH-Sarajevo,415,19.9,0.95
2025-02-11,SKU-A100,WH-Sarajevo,316,12.5,0.95
2025-02-11,SKU-B200,WH-Sarajevo,162,7.8,0.95
2025-02-11,SKU-C300,WH-Sarajevo,481,19.9,0.95
2025-02-12,SKU-A100,WH-Sarajevo,285,12.5,0.95
2025-02-12,SKU-B200,WH-Sarajevo,139,7.8,0.95
2025-02-12,SKU-C300,WH-Sarajevo,429,19.9,0.95
2025-02-13,SKU-A100,WH-Sarajevo,275,12.5,0.95
2025-02-13,SKU-B200,WH-Sarajevo,154,7.8,0.95
2025-02-13,SKU-C300,WH-Sarajevo,443,19.9,0.95
2025-02-14,SKU-A100,WH-Sarajevo,280,12.5,0.95
2025-02-14,SKU-B200,WH-Sarajevo,167,7.8,0.95
2025-02-14,SKU-C300,WH-Sarajevo,420,19.9,0.95
2025-02-15,SKU-A100,WH-Sarajevo,271,12.5,0.95
2025-02-15,SKU-B200,WH-Sarajevo,140,7.8,0.95
2025-02-15,SKU-C300,WH-Sarajevo,454,19.9,0.95
2025-02-16,SKU-A100,WH-Sarajevo,317,12.5,0.95
2025-02-16,SKU-B200,WH-Sarajevo,195,7.8,0.95
2025-02-16,SKU-C300,WH-Sarajevo,458,19.9,0.95
2025-02-17,SKU-A100,WH-Sarajevo,293,12.5,0.95
2025-02-17,SKU-B200,WH-Sarajevo,180,7.8,0.95
2025-02-17,SKU-C300,WH-Sarajevo,408,19.9,0.95
2025-02-18,SKU-A100,WH-Sarajevo,312,12.5,0.95
2025-02-18,SKU-B200,WH-Sarajevo,140,7.8,0.95
2025-02-18,SKU-C300,WH-Sarajevo,400,19.9,0.95
2025-02-19,SKU-A100,WH-Sarajevo,330,12.5,0.95
2025-02-19,SKU-B200,WH-Sarajevo,174,7.8,0.95
2025-02-19,SKU-C300,WH-Sarajevo,466,19.9,0.95
2025-02-20,SKU-A100,WH-Sarajevo,289,12.5,0.95
2025-02-20,SKU-B200,WH-Sarajevo,155,7.8,0.95
2025-02-20,SKU-C300,WH-Sarajevo,410,19.9,0.95
2025-02-21,SKU-A100,WH-Sarajevo,288,12.5,0.95
2025-02-21,SKU-B200,WH-Sarajevo,139,7.8,0.95
2025-02-21,SKU-C300,WH-Sarajevo,464,19.9,0.95
2025-02-22,SKU-A100,WH-Sarajevo,327,12.5,0.95
2025-02-22,SKU-B200,WH-Sarajevo,173,7.8,0.95
2025-02-22,SKU-C300,WH-Sarajevo,470,19.9,0.95
2025-02-23,SKU-A100,WH-Sarajevo,309,12.5,0.95
2025-02-23,SKU-B200,WH-Sarajevo,146,7.8,0.95
2025-02-23,SKU-C300,WH-Sarajevo,434,19.9,0.95
2025-02-24,SKU-A100,WH-Sarajevo,326,12.5,0.95
2025-02-24,SKU-B200,WH-Sarajevo,139,7.8,0.95
2025-02-24,SKU-C300,WH-Sarajevo,430,19.9,0.95
2025-02-25,SKU-A100,WH-Sarajevo,295,12.5,0.95
2025-02-25,SKU-B200,WH-Sarajevo,179,7.8,0.95
2025-02-25,SKU-C300,WH-Sarajevo,462,19.9,0.95
2025-02-26,SKU-A100,WH-Sarajevo,313,12.5,0.95
2025-02-26,SKU-B200,WH-Sarajevo,204,7.8,0.95
2025-02-26,SKU-C300,WH-Sarajevo,432,19.9,0.95
2025-02-27,SKU-A100,WH-Sarajevo,270,12.5,0.95
2025-02-27,SKU-B200,WH-Sarajevo,179,7.8,0.95
2025-02-27,SKU-C300,WH-Sarajevo,475,19.9,0.95
2025-02-28,SKU-A100,WH-Sarajevo,307,12.5,0.95
2025-02-28,SKU-B200,WH-Sarajevo,201,7.8,0.95
2025-02-28,SKU-C300,WH-Sarajevo,435,19.9,0.95
2025-03-01,SKU-A100,WH-Sarajevo,303,12.5,0.95
2025-03-01,SKU-B200,WH-Sarajevo,166,7.8,0.95
